stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Hebert\Area de trabalho\Programacao\UFV\SISTEMAS DE INFORMAÇÃO - UFV\5° Semestre\Computação Orientada a objetos\Projeto\PROJETOFINAL\Pacman\bin\Debug\allegro5.cfg r
display  D   display_settings.c:398  _al_score_display_settings       [   0.17349] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17353] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17357] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17361] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17365] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17369] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17373] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17377] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17381] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17386] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17390] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17394] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17398] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17402] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17406] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17410] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17414] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17418] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17423] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17427] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17431] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17435] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17445] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17450] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17454] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17459] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17463] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17467] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17471] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17476] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17483] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17489] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17494] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17499] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17503] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17507] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17512] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17516] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17520] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17524] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17528] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17532] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17536] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17541] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17545] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17549] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
